dest,flow_1990,flow_1995,flow_2000,flow_2005,flow_2010,flow_2017
Afghanistan,4196941,12688,961832,19809,90883,155198
Albania,7624,12312,32964,28093,89106,142577
Algeria,16955,21063,73535,75003,242324,342196
Angola,140131,10099,169389,81620,65387,638499
Argentina,169045,169383,210001,200985,1449293,2391065
Armenia,33963,39287,10289,2337,324184,220584
Aruba,14214,7211,7730,4271,34268,40144
Australia,575862,589741,910559,1316181,5522408,6875657
Austria,239511,132618,228629,187681,1310218,1593399
Azerbaijan,8731,6720,54019,54066,263940,515416
Bahamas,6145,5459,10843,12561,33406,73684
Bahrain,36889,42010,46135,447942,315403,810573
Bangladesh,166762,106966,161073,62252,1085345,1576709
Barbados,2498,2659,5403,5714,28080,42652
Belarus,72710,56002,65387,35968,1090378,1088815
Belgium,117495,106903,215252,225019,1465677,1873511
Belize,8087,8966,8420,6360,46807,62818
Benin,103224,29557,97886,69425,232036,253284
Bhutan,18,19498,34924,16855,40246,54746
Bolivia,11524,14373,43223,41780,145817,150738
Bosnia & Herzegovina,0,281756,79733,20110,27780,37634
Botswana,19605,25867,36186,39105,114838,166430
Brazil,81813,78757,43772,47550,688026,736913
Brunei,20221,14904,57556,58666,148123,280421
Bulgaria,5330,12185,32841,30623,107245,153974
Burkina Faso,123176,145821,120304,122503,1043035,725649
Burundi,272927,27445,200900,369527,60770,299569
Cambodia,154300,93039,10445,15,335829,76333
Cameroon,23911,28519,50976,78019,196570,710362
Canada,856627,1022704,1218312,1257093,7202340,8078763
Cape Verde,1481,4259,4522,4635,12053,15376
Central African Republic,38145,16198,7277,40077,80492,186822
Chad,41479,71250,217518,81208,388251,707930
Channel Islands,9930,12112,16067,17011,74790,96173
Chile,89450,60860,109088,124517,320397,502165
China,102431,108834,123859,196303,685775,1483938
Colombia,6452,18882,34195,32985,110297,142969
Comoros,3935,1524,359,245,13525,12555
Congo,33886,124076,40655,59046,143203,492286
Costa Rica,85998,147119,101384,94041,489201,454416
Croatia,328054,51710,25623,27922,699947,636073
Cuba,98,111,635,282,15259,16177
Cyprus,43663,53282,61814,44607,154253,207591
Czech Republic,77077,74608,139752,261933,453041,752773
Denmark,84048,96774,74247,105827,483714,557573
Djibouti,0,29999,3058,3625,114147,123537
Dominican Republic,50059,61688,34196,46159,5501,8033
DR Congo,1192699,1413,49090,79399,444672,985983
Ecuador,24101,2485,117831,133954,393641,452126
Egypt,15570,5501,39235,58380,244714,555860
El Salvador,4,0,5295,5817,40324,42442
Equatorial Guinea,14893,19981,24924,20013,7447,221865
Eritrea,5471,3843,229291,59987,164845,16041
Estonia,1314,1786,9823,7179,182464,134775
Ethiopia,799861,396296,1273,3517,547984,1234818
Fiji,350,790,537,3310,185333,27505
Finland,51934,49973,53468,76470,225646,267289
France,573752,614147,1204225,1064185,6684842,7969646
French Guiana,6922,8222,15342,10416,0,0
French Polynesia,798,4204,898,1000,34803,34830
Gabon,30564,36590,43258,44082,284127,394953
Gambia,21186,8788,14114,10920,290104,205063
Georgia,0,0,526,651,167269,203708
Germany,3316077,1518613,1226289,1063359,10758061,12550982
Ghana,40634,27166,103199,99188,1851814,527034
Greece,488044,341625,212838,184097,1132794,1274288
Grenada,817,802,578,500,12597,11367
Guadeloupe,2681,9310,4499,4127,0,0
Guam,5093,7653,3025,1292,78887,87978
Guatemala,632,1429,7943,14889,59457,81589
Guinea,948200,84283,5766,3794,394557,464672
Guinea-Bissau,2809,5112,1977,2619,19244,23405
Guyana,2109,2896,3133,3048,11599,15632
Haiti,3960,5949,4558,3578,34966,40533
Honduras,3594,4356,2944,4041,24344,38834
Hong Kong,270407,552821,288662,374174,2741800,2883051
Hungary,107514,103523,78326,76968,368076,496368
Iceland,3362,4985,8634,12631,37223,41050
India,1076497,680806,514550,765380,5436012,5188550
Indonesia,41458,136738,43371,26155,122908,345930
Iran,67772,743251,264811,386352,2128685,2699465
Iraq,25471,56968,11182,4279,83380,370223
Ireland,85314,109352,201162,105627,898630,836625
Israel,484978,265908,206953,358894,2940494,1962511
Italy,551847,553277,1859123,2018126,4463413,5906960
Ivory Coast,548003,341643,123186,153283,0,0
Jamaica,3120,5255,5027,4458,29962,34907
Japan,531554,239673,266566,371573,2176219,2357707
Jordan,406011,109094,141583,336738,2972983,3289902
Kazakhstan,58202,43442,330413,478008,3079491,3716976
Kenya,294394,127450,135220,112865,817747,1308860
Kuwait,9155,199447,212662,329082,2097527,3323025
Kyrgyzstan,1992,19263,1534,2274,222731,226960
Laos,2062,797,5652,3036,18916,45489
Latvia,33390,54614,7879,7695,335022,259290
Lebanon,230745,137184,162819,75677,758167,1995221
Lesotho,396,6,889,267,6328,7093
Liberia,25901,453092,25205,314250,96310,236518
Libya,108120,128598,50406,47112,682482,788419
Lithuania,999,341,17886,12503,128855,223227
Luxembourg,24757,25246,24464,45683,173232,264515
Macao,27971,28298,52288,60600,299692,353654
Macedonia,29075,27912,22489,22140,129701,130979
Madagascar,3825,2221,10882,7139,37762,45128
Malawi,20278,120182,26028,32223,275581,237104
Malaysia,517898,666582,742856,740333,2357603,3249192
Maldives,2272,786,10438,10126,3280,84678
Mali,17802,24216,37785,26259,162677,451367
Malta,6196,5460,8661,5130,15456,46219
Martinique,1203,4830,1048,1211,1709,3513
Mauritania,2470,14732,29653,20079,99229,183485
Mauritius,14353,13959,12961,9865,42917,55684
Mayotte,14163,8956,2752,2114,71735,0
Mexico,130294,177870,170517,236191,725684,1009532
Micronesia,415,43,0,0,2668,4457
Moldova,5247,422,5398,10760,408319,404810
Mongolia,0,0,5248,6557,10022,18209
Montenegro,11303,0,22671,22413,42509,90209
Morocco,4405,2579,2228,2068,49098,109006
Mozambique,667225,98820,48932,53433,450020,246954
Myanmar,0,39318,1181,10057,88695,103380
Namibia,25120,40752,10588,11833,138870,126920
Nepal,122868,124225,103966,96589,945865,549784
Netherlands,290049,264260,292268,243197,1752869,2041933
New Caledonia,5316,7169,6712,8033,59767,65446
New Zealand,157024,120003,237367,224759,962072,1325014
Nicaragua,283,180,1485,1368,40130,42096
Niger,31991,44691,24687,21070,202163,296089
Nigeria,47038,105798,132486,116808,1127668,1540221
North Korea,9439,4189,22861,25851,54798,24155
Norway,59045,74352,102727,176720,485444,782450
Oman,88599,3150,11804,171391,826074,2074334
Pakistan,947473,367626,162486,29450,4233592,3182958
Palestine,88707,104207,43984,47796,5776,5723
Panama,14552,18960,21684,21249,121003,191153
Papua New Guinea,3456,2688,6435,6696,24546,35191
Paraguay,18127,16861,52298,44537,161306,192135
Peru,499,1219,953,131,37625,107496
Philippines,58745,62974,15210,16107,435423,218783
Poland,32986,33986,125096,103891,827453,667739
Portugal,253040,253235,196528,173435,918626,839945
Puerto Rico,68420,66462,1279,578,323962,321970
Qatar,31754,57709,178398,857425,1305428,2085606
Reunion,12266,13023,5072,3805,0,0
Romania,8431,15919,87059,74754,132757,391142
Russia,2269544,2248308,1594612,1298188,12270388,11652102
Rwanda,0,1815987,51703,51993,465480,509788
Saint Lucia,546,1352,1795,1940,10180,0
Saint Vincent & Grenadines,592,662,867,854,0,0
Samoa,653,693,38,0,8976,10534
Sao Tome & Principe,1743,1141,787,837,5253,8038
Saudi Arabia,676540,130443,1820010,1299438,7288900,12185284
Senegal,16525,1391,21479,12641,210061,312017
Serbia,473235,209138,8935,140638,55388,834426
Sierra Leone,2902,56323,499349,73481,106776,112140
Singapore,285072,307204,310905,745572,1966865,2623404
Slovakia,44773,51663,27608,36697,130682,182863
Slovenia,56951,33680,40455,39368,163894,380263
Solomon Islands,108,467,699,888,6971,9220
Somalia,1,66718,872,992,22843,44868
South Africa,911517,300561,790876,847585,1862889,4035585
South Korea,70506,65926,348290,371681,0,0
South Sudan,0,399949,430830,784893,0,845775
Spain,400052,799413,2826929,2251716,6900574,6256804
Sri Lanka,9,2,34288,83,339915,51037
Sudan,1198621,70652,59483,13064,753447,741446
Suriname,6479,4571,10105,8897,39474,61156
Swaziland,444,3863,23,7228,40418,33295
Sweden,173140,123090,206264,303385,1306020,1746117
Switzerland,266645,166587,329589,332553,1762797,2544611
Syria,251,178,546683,243167,2205847,1013818
Tajikistan,134,2326,0,272,284291,279455
Tanzania,617789,167823,3616,46984,659202,707066
Thailand,18,595723,1196785,753393,1157263,4438567
Timor-Leste,11161,0,41176,0,13836,12063
Togo,8476,130849,23689,28851,185402,330186
Tonga,114,270,376,239,848,5436
Trinidad & Tobago,3455,2998,1718,1422,34348,50214
Tunisia,1359,697,780,2179,33591,61708
Turkey,283377,106877,169887,175470,1410947,5092286
Turkmenistan,51321,2064,2348,3289,207700,314482
Uganda,579273,323295,138308,61722,646548,1692251
Ukraine,330306,235209,242502,271299,5257527,5362652
United Arab Emirates,438063,522431,884494,3258880,3293264,8312524
United Kingdom,661384,843728,1568945,1699995,6955738,9202494
United States,5730191,8648547,7773599,6825626,42813281,47493736
Uruguay,4789,5211,1740,7035,79896,91425
Uzbekistan,43870,15304,12625,14437,1175935,1488892
Vanuatu,231,0,630,670,814,3814
Venezuela,124989,107044,125729,117040,1007380,1426251
Vietnam,16051,19578,15713,15881,69307,103464
Virgin Islands,1017,830,402,261,61798,63271
Western Sahara,10942,26642,89956,47498,1923808,256517
Yemen,647478,3365,47103,62295,517926,389450
Zambia,35130,184793,11397,22454,233140,163104
Zimbabwe,78564,5583,0,0,372258,426496
